,Image size (pixels),Aspect ratio,RMS contrast,Lightness entropy,Edge density,Complexity,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Fourier slope **Redies**,Fourier slope **Spehar**,Fourier slope **Mather**,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
std H channel,-0.03,0.0,0.17,0.32,0.26,0.26,0.19,0.14,0.24,0.39,0.23,-0.17,-0.56,0.44,-0.4,0.22,0.19,0.19,0.3,0.17,0.15,0.42,1.0,0.07,0.16,-0.2,0.02,-0.03,0.09,0.01,0.01,0.12,0.06,0.09,0.04,0.07,0.13,-0.04,0.15,0.01,0.14,-0.05,0.02,0.03,0.01
std S channel,-0.02,-0.05,0.36,0.23,0.25,0.11,0.31,-0.11,-0.18,-0.24,-0.17,0.32,0.24,-0.11,0.47,-0.11,0.38,0.34,0.3,0.36,0.49,0.5,0.07,1.0,0.37,0.13,0.15,0.16,-0.22,-0.14,-0.15,-0.16,-0.21,-0.17,-0.01,-0.13,-0.14,-0.11,-0.06,0.13,-0.0,0.11,0.07,0.11,0.34
std V channel,-0.07,0.03,0.97,0.3,0.5,0.26,0.28,0.15,0.11,0.1,0.11,0.1,0.07,-0.02,0.11,0.15,0.97,0.95,0.79,0.97,0.22,0.34,0.16,0.37,1.0,-0.09,0.52,0.41,-0.26,-0.26,-0.27,-0.23,-0.29,-0.22,-0.07,-0.4,-0.14,-0.22,0.05,0.22,0.06,0.01,0.01,0.27,0.36
Mirror symmetry,0.15,-0.3,-0.15,-0.54,-0.27,-0.26,-0.43,-0.78,-0.8,-0.75,-0.8,0.28,-0.1,-0.03,0.27,-0.79,-0.11,-0.22,-0.36,-0.15,0.03,-0.22,-0.2,0.13,-0.09,1.0,-0.08,0.09,-0.34,-0.1,-0.1,-0.28,-0.2,-0.24,0.07,-0.07,-0.35,0.07,-0.38,-0.06,-0.55,0.24,-0.04,0.0,0.22
DCM,-0.04,0.11,0.55,-0.07,-0.08,-0.07,-0.09,0.04,0.05,0.07,0.03,-0.03,-0.06,-0.03,-0.01,0.03,0.47,0.54,0.49,0.55,-0.13,-0.01,0.02,0.15,0.52,-0.08,1.0,0.46,-0.17,-0.35,-0.37,-0.09,-0.05,-0.03,-0.03,-0.39,-0.03,-0.26,-0.15,0.03,-0.23,-0.04,-0.04,0.25,0.16
Balance,-0.54,0.22,0.41,-0.15,-0.05,-0.1,-0.14,-0.11,-0.13,-0.11,-0.14,0.1,-0.03,-0.04,0.07,-0.13,0.38,0.38,0.28,0.41,-0.07,-0.03,-0.03,0.16,0.41,0.09,0.46,1.0,-0.2,-0.2,-0.22,-0.14,-0.14,-0.1,-0.06,-0.36,-0.1,-0.24,-0.14,0.15,-0.2,-0.02,-0.07,0.19,0.18
CNN symmetry left-right,-0.08,0.18,-0.24,0.36,0.2,0.43,0.26,0.38,0.42,0.4,0.42,-0.27,0.02,0.06,-0.15,0.4,-0.23,-0.18,-0.04,-0.24,-0.07,0.07,0.09,-0.22,-0.26,-0.34,-0.17,-0.2,1.0,0.53,0.59,0.55,0.44,0.49,0.1,0.49,0.56,0.29,0.45,-0.26,0.15,-0.17,0.01,-0.4,-0.67
CNN symmetry up-down,0.04,0.03,-0.26,0.38,0.32,0.46,0.31,0.12,0.13,0.11,0.14,-0.12,0.07,0.03,0.03,0.14,-0.21,-0.23,-0.19,-0.26,0.07,0.07,0.01,-0.14,-0.26,-0.1,-0.35,-0.2,0.53,1.0,0.95,0.39,0.29,0.32,0.04,0.53,0.38,0.72,0.56,-0.32,0.31,0.05,0.19,-0.65,-0.61
CNN symmetry left-right & up-down,0.04,0.02,-0.27,0.38,0.33,0.46,0.31,0.12,0.14,0.11,0.14,-0.12,0.07,0.02,0.03,0.14,-0.22,-0.24,-0.2,-0.27,0.07,0.06,0.01,-0.15,-0.27,-0.1,-0.37,-0.22,0.59,0.95,1.0,0.38,0.28,0.32,0.04,0.54,0.38,0.74,0.57,-0.32,0.32,0.06,0.19,-0.65,-0.62
Fourier slope **Redies**,-0.05,0.22,-0.21,0.3,0.18,0.65,0.21,0.31,0.36,0.35,0.35,-0.28,-0.02,0.1,-0.16,0.33,-0.22,-0.16,-0.02,-0.21,-0.06,0.1,0.12,-0.16,-0.23,-0.28,-0.09,-0.14,0.55,0.39,0.38,1.0,0.67,0.88,0.08,0.67,0.82,0.05,0.45,-0.32,0.17,-0.07,0.22,-0.43,-0.52
Fourier slope **Spehar**,0.02,0.08,-0.27,0.1,-0.14,0.44,0.03,0.18,0.22,0.22,0.22,-0.22,-0.04,0.1,-0.18,0.2,-0.27,-0.24,-0.15,-0.27,-0.1,-0.02,0.06,-0.21,-0.29,-0.2,-0.05,-0.14,0.44,0.29,0.28,0.67,1.0,0.84,0.28,0.51,0.75,0.18,0.17,-0.5,0.02,-0.12,-0.03,-0.38,-0.42
Fourier slope **Mather**,-0.05,0.18,-0.19,0.2,0.03,0.57,0.12,0.25,0.3,0.3,0.29,-0.26,-0.04,0.1,-0.17,0.27,-0.21,-0.15,-0.03,-0.19,-0.1,0.04,0.09,-0.17,-0.22,-0.24,-0.03,-0.1,0.49,0.32,0.32,0.88,0.84,1.0,0.16,0.58,0.84,0.04,0.33,-0.38,0.1,-0.07,0.13,-0.39,-0.46
Fourier sigma,0.05,-0.06,-0.09,-0.08,-0.15,0.09,-0.07,-0.07,-0.07,-0.05,-0.07,0.04,-0.05,0.09,0.0,-0.06,-0.07,-0.09,-0.1,-0.09,0.02,0.01,0.04,-0.01,-0.07,0.07,-0.03,-0.06,0.1,0.04,0.04,0.08,0.28,0.16,1.0,0.1,0.16,0.1,-0.19,-0.03,-0.12,-0.22,-0.32,-0.01,0.02
2D Fractal dimension,0.09,0.09,-0.4,0.31,0.28,0.6,0.25,0.13,0.16,0.15,0.16,-0.14,0.01,0.08,-0.02,0.16,-0.37,-0.36,-0.25,-0.4,0.07,0.08,0.07,-0.13,-0.4,-0.07,-0.39,-0.36,0.49,0.53,0.54,0.67,0.51,0.58,0.1,1.0,0.62,0.33,0.48,-0.37,0.23,0.05,0.24,-0.5,-0.53
3D Fractal dimension,-0.1,0.25,-0.11,0.37,0.23,0.69,0.27,0.39,0.42,0.4,0.42,-0.27,0.01,0.09,-0.18,0.4,-0.12,-0.06,0.07,-0.11,-0.05,0.13,0.13,-0.14,-0.14,-0.35,-0.03,-0.1,0.56,0.38,0.38,0.82,0.75,0.84,0.16,0.62,1.0,0.14,0.44,-0.4,0.19,-0.1,0.13,-0.43,-0.53
Self-similarity (PHOG),0.17,-0.11,-0.23,0.24,0.13,0.24,0.23,-0.05,-0.06,-0.09,-0.04,-0.01,0.11,-0.05,0.09,-0.04,-0.17,-0.22,-0.24,-0.23,0.11,0.01,-0.04,-0.11,-0.22,0.07,-0.26,-0.24,0.29,0.72,0.74,0.05,0.18,0.04,0.1,0.33,0.14,1.0,0.32,-0.41,0.22,0.11,0.12,-0.6,-0.36
Self-similarity (CNN),-0.04,0.23,0.09,0.64,0.65,0.62,0.53,0.37,0.4,0.36,0.4,-0.23,0.08,-0.01,-0.11,0.39,0.08,0.13,0.2,0.09,0.09,0.19,0.15,-0.06,0.05,-0.38,-0.15,-0.14,0.45,0.56,0.57,0.45,0.17,0.33,-0.19,0.48,0.44,0.32,1.0,-0.23,0.6,0.05,0.43,-0.51,-0.5
Anisotropy,-0.2,-0.01,0.22,-0.02,0.07,-0.28,0.03,0.08,0.05,0.04,0.05,0.11,0.03,-0.04,0.07,0.07,0.21,0.21,0.18,0.22,0.08,0.06,0.01,0.13,0.22,-0.06,0.03,0.15,-0.26,-0.32,-0.32,-0.32,-0.5,-0.38,-0.03,-0.37,-0.4,-0.41,-0.23,1.0,0.04,-0.36,-0.36,0.48,0.5
Homogeneity,-0.03,0.12,0.08,0.57,0.51,0.38,0.52,0.35,0.34,0.28,0.36,-0.08,0.17,-0.04,-0.0,0.36,0.09,0.11,0.14,0.08,0.18,0.22,0.14,-0.0,0.06,-0.55,-0.23,-0.2,0.15,0.31,0.32,0.17,0.02,0.1,-0.12,0.23,0.19,0.22,0.6,0.04,1.0,-0.02,0.28,-0.24,-0.12
1st-order EOE,0.12,-0.19,-0.01,-0.03,0.01,0.02,0.02,-0.26,-0.27,-0.28,-0.27,0.1,0.05,-0.05,0.17,-0.25,0.01,-0.04,-0.1,-0.01,0.14,0.05,-0.05,0.11,0.01,0.24,-0.04,-0.02,-0.17,0.05,0.06,-0.07,-0.12,-0.07,-0.22,0.05,-0.1,0.11,0.05,-0.36,-0.02,1.0,0.8,-0.13,0.01
2nd-order EOE,0.07,0.03,0.01,0.25,0.25,0.26,0.26,0.01,0.0,-0.02,0.01,-0.02,0.09,-0.05,0.1,0.01,0.01,0.01,0.03,0.01,0.13,0.13,0.02,0.07,0.01,-0.04,-0.04,-0.07,0.01,0.19,0.19,0.22,-0.03,0.13,-0.32,0.24,0.13,0.12,0.43,-0.36,0.28,0.8,1.0,-0.26,-0.18
Sparseness,-0.06,0.01,0.24,-0.31,-0.2,-0.45,-0.27,0.03,0.02,0.06,0.01,0.15,-0.12,0.05,0.01,0.04,0.2,0.24,0.27,0.24,-0.02,0.01,0.03,0.11,0.27,0.0,0.25,0.19,-0.4,-0.65,-0.65,-0.43,-0.38,-0.39,-0.01,-0.5,-0.43,-0.6,-0.51,0.48,-0.24,-0.13,-0.26,1.0,0.52
Variability,0.02,-0.23,0.32,-0.2,-0.16,-0.4,-0.05,-0.21,-0.27,-0.29,-0.26,0.29,0.11,-0.08,0.23,-0.22,0.34,0.28,0.15,0.32,0.29,0.14,0.01,0.34,0.36,0.22,0.16,0.18,-0.67,-0.61,-0.62,-0.52,-0.42,-0.46,0.02,-0.53,-0.53,-0.36,-0.5,0.5,-0.12,0.01,-0.18,0.52,1.0
